Year,Births,Deaths,Male,Female,Unknown,PopSize
1950,8,12,89,91,1,181
1951,9,9,84,88,1,173
1952,7,6,82,83,0,165
1953,9,6,80,85,0,165
1954,7,6,81,81,0,162
1955,10,14,82,82,0,164
1956,6,3,77,75,0,152
1957,11,4,82,77,0,159
1958,12,9,85,72,0,157
1959,9,5,91,80,0,171
1960,8,9,99,85,0,184
1961,14,7,99,83,0,182
1962,7,8,96,79,0,175
1963,15,10,96,78,1,175
1964,13,9,109,92,0,201
1965,9,11,119,104,0,223
1966,13,10,118,110,0,228
1967,9,7,114,106,1,221
1968,11,8,111,105,0,216
1969,9,7,120,106,0,226
1970,7,11,116,103,0,219
1971,13,4,106,93,0,199
1972,8,9,112,93,0,205
1973,8,5,110,94,0,204
1974,10,3,108,92,0,200
1975,9,5,95,67,0,162
1976,4,6,81,55,0,136
1977,12,4,80,53,0,133
1978,6,10,91,70,0,161
1979,9,2,96,81,0,177
1980,12,9,102,89,0,191
1981,9,8,110,97,0,207
1982,12,11,116,97,0,213
1983,12,11,121,96,0,217
1984,13,11,128,103,0,231
1985,15,16,125,100,0,225
1986,14,13,128,102,0,230
1987,13,23,132,115,0,247
1988,8,5,137,108,0,245
1989,12,7,125,99,0,224
1990,10,10,121,102,0,223
1991,12,6,109,98,0,207
1992,11,14,110,93,0,203
1993,15,5,107,98,0,205
1994,5,4,115,111,0,226
1995,11,9,109,103,0,212
1996,13,4,107,107,0,214
1997,10,3,111,108,0,219
1998,10,10,114,109,0,223
1999,15,3,112,109,0,221
2000,14,14,121,117,0,238
2001,14,7,126,120,0,246
2002,12,6,132,124,0,256
2003,8,5,138,134,0,272
2004,10,3,142,142,0,284
2005,12,4,138,146,0,284
2006,5,3,139,155,0,294
2007,13,10,142,153,0,295
2008,10,3,143,152,0,295
2009,8,5,138,151,0,289
2010,NA,NA,135,149,0,284
