mean_infecteds,sum_persist,mean_percent_infected,omega,immunity_duration,model,patches
45.491000000000014,77,21.29624511145183,0.3333333333333333,3,meta,7
38.444,78.3,16.749452055890323,0.14285714285714285,7,meta,7
33.339,77.2,14.0808730672884,0.07142857142857142,14,meta,7
23.681,78.5,9.38853014307504,0.05,20,meta,7
18.675,78,7.170306905009346,0.03333333333333333,30,meta,7
15.121,78.3,5.710839472821289,0.025,40,meta,7
12.490000000000002,77.9,4.655085462408874,0.02,50,meta,7
10.716,75.2,3.952909714223873,0.01666666666666666,60,meta,7
8.723999999999998,69.39999999999999,3.1654849021849403,0.01428571428571428,70,meta,7
7.107000000000001,60.4,2.5111585617249506,0.0125,80,meta,7
5.4460000000000015,52.6,1.8999423269533904,0.01111111111111111,90,meta,7
3.8860000000000023,38.7,1.317802622159021,0.01,100,meta,7
2.5569999999999995,27.1,0.8485211083450481,0.00909090909090909,110,meta,7
1.6549999999999991,18.4,0.5446353636213161,0.00833333333333333,120,meta,7
1.014000000000003,12.1,0.3246856627114486,0.00769230769230769,130,meta,7
0.33000000000000107,5.1,0.10450225469737004,0.00666666666666666,150,meta,7
0.05600000000000004,0.8999999999999999,0.01650930077988034,0.00555555555555555,180,meta,7
0.00500000000000006,0.1,0.00154798761609906,0.00454545454545454,220,meta,7
0,0,0,0.0037037037037037,270,meta,7
0,0,0,0.00273972602739726,365,meta,7
5.315000000000002,57.9,16.03362831153745,1,1,single,1
4.635,56.599999999999994,12.651103541748714,0.3333333333333333,3,single,1
3.1100000000000003,43.8,7.813289069657734,0.14285714285714285,7,single,1
2.5890000000000004,35,5.7874634560607845,0.1,10,single,1
0.8929999999999995,14.4,1.4567706206085629,0.05,20,single,1
0.32800000000000035,5.4,0.4313405836351923,0.03333333333333333,30,single,1
0.09799999999999984,1.7000000000000002,0.12483526402864945,0.025,40,single,1
0.01500000000000004,0.2,0.01586879432624108,0.02,50,single,1
0.01200000000000009,0.2,0.01259227095093356,0.01666666666666666,60,single,1
0,0,0,0.01428571428571428,70,single,1
0,0,0,0.0125,80,single,1
0,0,0,0.01,100,single,1
0,0,0,0.00666666666666666,150,single,1
0,0,0,0.00555555555555555,180,single,1
0,0,0,0.00273972602739726,365,single,1
19.056,76.5,20.450069914931333,0.3333333333333333,3,meta,3
15.145,74.7,15.23084390458294,0.14285714285714285,7,meta,3
13.420000000000002,75.4,13.14494178028222,0.07142857142857142,14,meta,3
9.584999999999996,74.5,8.75956747682015,0.05,20,meta,3
7.109,70.5,6.251423202404175,0.03333333333333333,30,meta,3
4.810999999999997,54.7,3.8739231779375687,0.025,40,meta,3
