mean_infecteds,sum_persist,mean_percent_infected,omega,immunity_duration,model
5.315000000000002,57.9,16.03362831153745,1,1,single
4.635,56.599999999999994,12.651103541748714,0.3333333333333333,3,single
3.1100000000000003,43.8,7.813289069657734,0.14285714285714285,7,single
2.5890000000000004,35,5.7874634560607845,0.1,10,single
0.8929999999999995,14.399999999999999,1.4567706206085629,0.05,20,single
0.32800000000000035,5.4,0.4313405836351923,0.03333333333333333,30,single
0.09799999999999984,1.7000000000000002,0.12483526402864943,0.025,40,single
0.01500000000000004,0.2,0.015868794326241092,0.02,50,single
0.01200000000000009,0.2,0.01259227095093356,0.016666666666666666,60,single
0,0,0,0.014285714285714285,70,single
0,0,0,0.0125,80,single
0,0,0,0.01,100,single
0,0,0,0.006666666666666667,150,single
0,0,0,0.005555555555555556,180,single
0,0,0,0.0027397260273972603,365,single
